origination_year,n_loans,default_rate,rolling_3_avg,vs_overall_avg
2007,82,0.23170731707317074,0.23170731707317074,0.06497416549442059
2008,538,0.1691449814126394,0.20042614924290508,0.0024118298338892397
2009,1711,0.12273524254821741,0.17452918034467588,-0.043997909030532745
2010,4295,0.1250291036088475,0.1389697758565681,-0.04170404796990265
2011,8120,0.14716748768472906,0.13164394461393134,-0.01956566389402109
2012,19781,0.1644507355543198,0.14554910894929876,-0.002282416024430356
2013,50345,0.15471248386135664,0.1554435690334685,-0.012020667717393518
2014,82757,0.18379109924236017,0.1676514395526789,0.017057947663610018
2015,139899,0.20185991322311095,0.18012116544227594,0.03512676164436079
