risk_tier,n_loans,avg_score,avg_pd,actual_dr,avg_pd_fmt,actual_dr_fmt
C,39257,640.4022976793948,0.05977481296429424,0.08668517716585578,5.98%,8.67%
D,133892,607.6897051354823,0.16998263479289497,0.23484599527977773,17.00%,23.48%
E,21415,568.9023581601681,0.424348694763904,0.44426803642306795,42.43%,44.43%
