segment,n,approval_rate,avg_pd,gap_from_best,disparate_impact,flag
A,32823,0.9993,0.0791,0.0,0.0,OK
B,56049,0.9872,0.1359,0.0121,0.0121,OK
C,58173,0.9115,0.1924,0.0878,0.0879,OK
D,27954,0.8244,0.231,0.1749,0.175,OK
E,11699,0.6634,0.2867,0.3359,0.3361,INVESTIGATE
F,4200,0.4712,0.3446,0.5281,0.5285,INVESTIGATE
G,1574,0.4091,0.3644,0.5902,0.5906,INVESTIGATE
