segment,n,approval_rate,avg_pd,gap_from_best,disparate_impact,flag
Not Verified,60206,0.9309,0.1493,0.0,0.0,OK
Source Verified,78662,0.9213,0.168,0.0096,0.0103,OK
Verified,53604,0.8594,0.2058,0.0715,0.0768,OK
