segment,n,mean_pred_pd,actual_dr,calib_error,flag
G,1574,0.3644,0.5305,-0.1661,UNDER-PREDICTS RISK
F,4200,0.3446,0.4969,-0.1523,UNDER-PREDICTS RISK
E,11699,0.2867,0.4144,-0.1277,UNDER-PREDICTS RISK
D,27954,0.231,0.3416,-0.1106,UNDER-PREDICTS RISK
C,58173,0.1924,0.2576,-0.0651,UNDER-PREDICTS RISK
B,56049,0.1359,0.1556,-0.0198,OK
A,32823,0.0791,0.0683,0.0107,OK
