segment,n,approval_rate,avg_pd,gap_from_best,disparate_impact,flag
ANY,105,0.9714,0.1486,0.0,0.0,OK
OWN,23333,0.9163,0.1708,0.0551,0.0567,OK
RENT,74151,0.9115,0.1758,0.0599,0.0617,OK
MORTGAGE,94882,0.9013,0.1708,0.0701,0.0722,OK
