segment,n,mean_pred_pd,actual_dr,calib_error,flag
ANY,105,0.1486,0.2571,-0.1086,UNDER-PREDICTS RISK
RENT,74151,0.1758,0.2715,-0.0957,UNDER-PREDICTS RISK
OWN,23333,0.1708,0.2257,-0.055,UNDER-PREDICTS RISK
MORTGAGE,94882,0.1708,0.1881,-0.0173,OK
