segment,n,n_good,n_bad,tpr,fpr,tpr_gap,fpr_gap,flag
C,58173,43190,14983,0.9249,0.873,0.0745,0.4802,INVESTIGATE
B,56049,47325,8724,0.9891,0.9766,0.0103,0.5838,INVESTIGATE
D,27954,18405,9549,0.8483,0.7784,0.1511,0.3856,INVESTIGATE
A,32823,30580,2243,0.9994,0.9982,0.0,0.6054,INVESTIGATE
G,1574,739,835,0.4276,0.3928,0.5718,0.0,INVESTIGATE
E,11699,6851,4848,0.7021,0.6087,0.2973,0.2159,INVESTIGATE
F,4200,2113,2087,0.5159,0.426,0.4835,0.0332,INVESTIGATE
