segment,n,n_good,n_bad,tpr,fpr,tpr_gap,fpr_gap,flag
RENT,74151,54021,20130,0.9422,0.8291,0.0322,0.029,OK
MORTGAGE,94882,77037,17845,0.9248,0.8001,0.0496,0.0,OK
OWN,23333,18066,5267,0.9373,0.8443,0.0371,0.0442,OK
ANY,105,78,27,0.9744,0.963,0.0,0.1629,OK
