model,auc,precision,recall,f1,ks,capture_rate_top5,capture_rate_top10,threshold,n_alerts,alert_rate,n_fraud_total
Fraud model — Train,0.6828,0.0318,1.0,0.0616,0.2585,0.1719,0.2548,0.25,144692,0.9916,4595
Fraud model — Test,0.5154,0.03,0.9904,0.0582,0.0554,0.0651,0.1199,0.25,48239,0.9917,1459
