product_type,n_loans,n_fraud,fraud_rate,total_loss,avg_fraud_prob,product
0,192472,5980,0.031069454258281726,38616173.47,0.48331186,Unsecured
1,2092,74,0.03537284894837476,894068.7,0.37426248,Secured HELOC
